month,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion
2021-04,0,0,0,0,0
2021-05,438,37,18,13,0.02968
2021-06,526,25,6,5,0.0095
2021-07,523,11,7,2,0.00382
2021-08,311,3,1,0,0
2021-09,551,13,4,1,0.00181
2021-10,474,10,5,0,0
2021-11,790,26,4,0,0
2021-12,796,9,3,2,0.00251
2022-01,322,8,2,2,0.00621
2022-02,643,21,7,5,0.00777
2022-03,599,18,10,6,0.01001
2022-04,274,14,10,9,0.03284
2022-05,438,21,19,11,0.02511
2022-06,187,5,3,3,0.01604
2022-07,84,4,1,1,0.0119
2022-08,0,0,0,0,0
2022-09,0,0,0,0,0
2022-10,0,0,0,0,0
2022-11,0,0,0,0,0
2022-12,132,2,1,0,0
2023-01,78,1,0,0,0
2023-02,89,3,1,0,0
2023-03,18,1,0,0,0
2023-04,0,0,0,0,0
2023-05,0,0,0,0,0
2023-06,36,0,0,0,0
2023-07,0,0,0,0,0
2023-08,0,0,0,0,0
2023-09,0,0,0,0,0
2023-10,0,0,0,0,0
2023-11,0,0,0,0,0
2023-12,0,0,0,0,0
2024-01,0,0,0,0,0
2024-02,0,0,0,0,0
2024-03,2,0,0,0,0
